r,md5,node_lat,node_lon
pr2,50e82201033cf5e664d0981f2dd02ab9,18.0015070538032,-66.7532760592112
pr3,a7550ac961f94ce07752ea454637e44d,18.0012809272951,-66.6114863915734
pr5,95c923a1a1c6ddaea9265384c6746fed,18.1051828222315,-65.8234605404272
pr8,c1126494f241c94dcbbf7ca6f938b7ab,17.961056944062,-66.139303974935
pr10,be548e4593c60a91f0b9efcd28742167,18.1204052191257,-66.1710658953323
pr14,14958246c308a2b9f48fabdf4b1859b4,18.13732480866,-65.82683737768
pr16,79f091d928bafb7348c14c002ca29316,18.2429864355861,-65.7850288247602
pr18,8d209f84b17185bb1986819081804e62,18.3297155598641,-65.6457601435012
pr21,06b810730a2344ef04a1aff81980c5ea,18.2394711140921,-66.0367270254871
pr23,edd72a4d57d2b43dd885d76fc67b91c2,17.9659887334244,-66.8976331730957
pr29,a6c7a5fbe48026d388b77d21c618300d,18.2373912818469,-67.147380541546
pr32,9d4f77ce9598269674c8fa8f68f5764d,18.40430858,-67.15392125
pr35,af8127a980a98471f696a5a395b9088d,18.3408521093501,-66.9886325740527
pr38,cd4ceef4ce8ea21d2b1c1cbcef118222,18.336,-66.666
pr40,8b41364a715af195c976a6c6298674e5,18.45395878,-66.70054232
pr41,4e685fae334a72f8f3137833133a8b1d,18.4458787165834,-66.3914685076281
pr45,19907879f968a39ffad41721eba29648,18.3988201392758,-66.1410715779413
pr50,02ea5364e9799e6d6b5b33dedfb5e9db,18.3732806365162,-66.0728457784086
pr63,f699fb43b225af9cb76ffe022e057faf,18.45454337,-66.14887874
pr82,6580762d870e4b032fcb4d75a9cb361e,18.3749310778779,-65.9094991272663
pr83,6c2c50823b0a32695f779462ca207b48,18.3291233336108,-66.3595940765544
pr84,41c934c63c13ded2ec7117b73775d44d,18.4101485183135,-66.011397443087
pr85,dc492df7d610815d2cc854bd42049ef8,18.395,-65.981
pr86,8090b4910f46ab0270d1a32bfc7cf120,18.4462551438155,-66.0779062917654
pr87,998a61d9c82707c18e66f662066f9b80,18.4270871873285,-66.0676831279039
pr88,d2ff95d3bd0fa1a5023a778247ffc193,18.4270894106024,-66.104404337261
pr93,09ffc64839b15450d1239229d9e1c7a6,18.4177430276982,-66.2653662847825
pr96,96c53983f3bcec51c7b4c2a037e32623,18.0030629750221,-66.7549319005293
pr99,ac538beb1607a3d7a733f006059ef9e8,18.399,-66.141
pr100,a3884720eab9814211499d13339b7586,18.467,-67.036
pr101,4424e3353aafc84cd0dddee2b1fb0db0,18.232,-65.667
pr102,39b037c178ca00c6230b35e4c740f71f,18.4283908357814,-66.5706576264178
pr103,e19f6e2f7a453aaeba2e97d5426cee74,18.0127700579151,-66.6390769907291
pr106,72166f729226cebe52ae986c2699c3a1,17.9520116156805,-66.2308401882358
pr107,0a441141299e6f4eaa48bd8fa28aaa0c,17.9532741471698,-66.2311584279522
pr111,ac7742605fdcc4b0a63709ab51ab7cd7,18.41145572511,-66.1779709050394
pr116,b1f74dd7b168993b814693e126eef062,18.12868123,-67.1360455
pr120,e03596c6046158e9771c2ed3e50218a1,18.395,-65.981
pr127,2d8f02e572ddd4d973ddb412067edb7a,18.3984931434295,-66.0989665285312
pr149,231222dade7d6e671980cd5985c95322,18.247078688759,-66.1060753786802
pr153,20f46c5383dc293d4e9507a3431e8264,18.433,-66.456
pr167,ab508e6f5d02b83f94ca87b9c71c8720,18.4249383396828,-66.5905482796362
pr169,f1042620e218265f144df1acf3e2cd8c,18.0750990243733,-67.0091432005955
pr175,b2ffaf6af9b5e0f99776a29f561fb3a0,18.3435425236042,-66.0125885191723
pr177,98d09c52d91d5b3ba72e4c9cc16996a0,18.3275495781778,-66.4738323567036
pr184,84e5172ead2f3c5edee5db3c62d44df5,18.0114416005492,-65.904410885355
pr185,2f7331500191e741cb67b8fadb7d6957,18.0483889897792,-65.8516387068331
pr190,e61f2b3c5b00ed943bc0907e9916adc7,18.3494926249706,-66.185849899094
pr196,d57eaea05c9696bf98cd1b6a8457f65f,18.433,-66.456
pr204,5741e502283bac32c1d87baa437cc629,18.237,-67.147
pr211,b0a2cca431198750e6e3851d8dc21028,18.3639503,-65.77090642
pr213,6a9570110bb398fd7c782e43cc88c1f1,18.132,-66.488
pr231,567eb5532f7966af162480cd7e6db341,18.2984761586059,-67.152569302061
pr232,b5d3b9fc017446286c4f1ecf36a68501,18.237,-67.147
pr233,78c0c80648e87a571e7be91f389829ee,18.106,-65.825
pr234,e95105dbaa6123b1fd6308defd1138cd,18.2269009978467,-65.9154707181728
pr266,05726c736277e78fffb7b9546ad0ec6f,18.2178266340192,-66.6040735772664
pr271,4fc7fab30828c80330d2f208e0e95d17,18.381696554124,-66.1259055887702
pr275,93fde0a4b03ebe54a9005a5cf8cd1ae6,18.1983008074441,-66.2094086233001
pr277,0affaf61ad9313556a40f7fc5e24124f,18.237,-67.147
pr280,6218dc3211a0413c42f4e14499a2ac56,18.3439345103641,-66.0565131330956
pr281,d25d4b2ccd34fc646ad2a21f9ef5c390,18.3220582564782,-65.9877304348331
pr290,7964443f7246343fd59e4d48a990af35,18.2961853441026,-66.6432524936094
pr294,5114b2349f8e81edc12092e347f05615,18.137079891,-65.826856691
pr296,979874216f6263019a674b640ef4966f,18.02198247,-66.36966581
pr310,123f9d1ac1d511fab3449ead5de47352,18.3468783690967,-66.2309197231098
pr313,fc395033ebd2b94ee073c8328fa18473,18.0599121162378,-66.5513201474167
pr319,cd2efafee4458ad3ad3a31f268b58caa,17.9785078976431,-66.7568194626311
pr321,bded1f90a1d8c96af4cfa15f0e24b336,17.9474467239165,-66.149463495378
pr334,52ea28e3c557718d283c3d0c53fc22b6,18.009142041506433,-65.98522103324383
pr335,c08eea47082824a6afe93c9eaaf51bfd,18.4352984995114,-66.7866985581113
pr343,13397771010da09c43c0c4a31665c63b,18.43424277838138,-66.568886543152
pr352,5625617e5a8dab5bea4ea911cc964cbf,18.4661126296469,-67.0363686248201
pr353,c5304d4903ed65b997200f32ab8113ab,18.189,-66.319
pr363,760146d62cc8189b7c930dbcbb97a63f,18.001,-66.612
pr378,0bfd3e16145a4f73e84608283da92c57,18.4168046806253,-66.1952581711991
pr392,6b0762526baabf6fb3ca53d27d28e853,18.4341115095258,-66.0602809398757
pr400,383ae31ea0658ab5e35369e6dd00374b,18.3383961252783,-66.3052449457631
pr428,1428719a8c6da305619b66da5d6a1471,18.2327569503965,-67.1513062922523
pr440,927d18aab3e4b92240da66dcea6cdcf2,18.4690563228198,-66.6968634056452
pr441,b77a38c4114d88314d5450ace742784d,18.469,-66.697
pr442,0f8a59e9f66f8b380aabce7f174dc797,18.4569403497865,-66.468957719599
pr451,a56319290118279730d935caeff31f5e,18.247,-66.106
pr452,ebc2a243a576df3df336d648432ec914,18.4259465841657,-66.4666915134419
pr480,63d9e8a72c3a2f029c635f9b194839d2,18.3436516739002,-65.9909356210132
pr489,d137bac93007c79e3f38fcf01fdb46f2,17.9986583457755,-66.7424579382298
pr492,32ccc2d093db2182a61b22c5d6597a99,18.4133390538859,-66.2261741709764
pr545,763d40a5c4349756ea552000687d9b3e,18.3697102278284,-66.1120134707712
pr555,ed6795963a0408cc275f9531ba263491,18.322755837772,-66.4067897909724
pr583,f59569edf759b05d60124d386fd73d25,18.396697621194,-65.9924687286346
pr632,bd4dec2232feaeecd44bb5e5ad87dd77,18.4509507741195,-66.091184784167
pr902,5d3b9af5a870b9a89f8fa51fb390d488,18.3343350948124,-66.7203883384155
pr956,db3f5556a32668503e9e7a3de7faa26b,18.323,-65.939
pr1025,083e262c3b044454e0df901c68e162d0,18.0427565348008,-65.8507550014057
pr1027,8402e5776dfcbac2fe148bb2c35528fc,18.2496757307187,-66.0730135701285
pr1040,6c163075ff0970788e913efe05d24369,18.3134012834972,-66.0854506575756
pr1077,2fe750aa7a1f74c76b4503a15747167d,18.001,-66.612
pr1078,4b98bd8c67e1df2302abdc630681569c,18.059844738,-66.551303603
pr1079,d0a11ee8b22025107a90abfa49566d28,18.099408485110843,-66.52099494993725
pr1102,248e34197bd06cd022e7e91381201426,18.43426401,-66.06018464
pr1103,8bc829b5c5fea9b25e5a063bcbf06d46,18.42707984,-66.10472682
pr1104,094cc96136319f75f6a7be9c625752c4,18.39871644,-66.14055768
pr1105,26c2cea56d0bc574a2215095b727b56e,18.37275885,-66.07301099
pr1110,3fc685cf33edf02c547abb4eb7dba00f,18.336,-66.666
