i,t,capcost,fom,vom,heatrate
coal-CCS_mod,2010,5433.0,141.0,16.48,10.938
coal-CCS_mod,2011,5433.0,141.0,16.48,10.938
coal-CCS_mod,2012,5433.0,141.0,16.48,10.938
coal-CCS_mod,2013,5433.0,141.0,16.48,10.938
coal-CCS_mod,2014,5433.0,141.0,16.48,10.938
coal-CCS_mod,2015,5433.0,141.0,16.48,10.938
coal-CCS_mod,2016,5433.0,141.0,16.48,10.938
coal-CCS_mod,2017,5433.0,141.0,16.48,10.938
coal-CCS_mod,2018,5433.0,141.0,16.48,10.938
coal-CCS_mod,2019,5433.0,141.0,16.48,10.938
coal-CCS_mod,2020,5433.0,141.0,16.48,10.938
coal-CCS_mod,2021,5433.0,141.0,16.48,10.938
coal-CCS_mod,2022,5433.0,141.0,16.48,10.938
coal-CCS_mod,2023,5433.0,141.0,16.48,10.938
coal-CCS_mod,2024,5384.0,139.0,16.43,10.938
coal-CCS_mod,2025,5335.0,138.0,16.37,10.938
coal-CCS_mod,2026,5287.0,137.0,16.32,10.938
coal-CCS_mod,2027,5238.0,136.0,16.27,10.938
coal-CCS_mod,2028,5189.0,135.0,16.22,10.938
coal-CCS_mod,2029,5140.0,134.0,16.17,10.938
coal-CCS_mod,2030,5091.0,133.0,16.11,10.938
coal-CCS_mod,2031,5042.0,132.0,16.06,10.938
coal-CCS_mod,2032,4993.0,130.75,16.01,10.938
coal-CCS_mod,2033,4944.0,129.5,15.955,10.938
coal-CCS_mod,2034,4895.0,128.25,15.9025,10.938
coal-CCS_mod,2035,4846.0,127.0,15.85,10.938
coal-CCS_mod,2036,4797.0,126.0,15.8,10.938
coal-CCS_mod,2037,4748.0,125.0,15.75,10.938
coal-CCS_mod,2038,4699.0,124.0,15.69,10.938
coal-CCS_mod,2039,4650.0,122.0,15.64,10.938
coal-CCS_mod,2040,4602.0,121.0,15.59,10.938
coal-CCS_mod,2041,4553.0,120.0,15.54,10.938
coal-CCS_mod,2042,4504.0,119.0,15.49,10.938
coal-CCS_mod,2043,4455.0,118.0,15.43,10.938
coal-CCS_mod,2044,4406.0,117.0,15.38,10.938
coal-CCS_mod,2045,4357.0,116.0,15.33,10.938
coal-CCS_mod,2046,4308.0,115.0,15.28,10.938
coal-CCS_mod,2047,4259.0,113.0,15.22,10.938
coal-CCS_mod,2048,4210.0,112.0,15.17,10.938
coal-CCS_mod,2049,4161.0,111.0,15.12,10.938
coal-CCS_mod,2050,4112.0,110.0,15.07,10.938
