r,bus_number,bus_name,base_kv,longitude,latitude,municipality,county_fips,state,country,interconnect,transmission_group
pr2,2,COSTA SUR115-2,115.0,-66.7532760592112,18.0015070538032,Guayanilla,72059,PR,USA,PR,PR
pr3,3,PONCE 115   -3,115.0,-66.6114863915734,18.0012809272951,Ponce,72113,PR,USA,PR,PR
pr5,5,YABUCOA 115 -5,115.0,-65.8234605404272,18.1051828222315,Humacao,72069,PR,USA,PR,PR
pr8,8,JOBOS 115   -8,115.0,-66.139303974935,17.961056944062,Guayama,72057,PR,USA,PR,PR
pr10,10,CAYEY 115   -10,115.0,-66.1710658953323,18.1204052191257,Cayey,72035,PR,USA,PR,PR
pr14,14,HUMACAO     -14,115.0,-65.82683737768,18.13732480866,Humacao,72069,PR,USA,PR,PR
pr16,16,R.BLANCO 115-16,115.0,-65.7850288247602,18.2429864355861,Naguabo,72103,PR,USA,PR,PR
pr18,18,FAJARDO 115 -18,115.0,-65.6457601435012,18.3297155598641,Fajardo,72053,PR,USA,PR,PR
pr21,21,CAGUAS 115  -21,115.0,-66.0367270254871,18.2394711140921,Caguas,72025,PR,USA,PR,PR
pr23,23,GUANICA 115 -23,115.0,-66.8976331730957,17.9659887334244,Guánica,72055,PR,USA,PR,PR
pr29,29,MAYAGUEZ 115-29,115.0,-67.147380541546,18.2373912818469,Mayagüez,72097,PR,USA,PR,PR
pr32,32,AGUADILLA115-32,115.0,-67.15392125,18.40430858,Aguadilla,72005,PR,USA,PR,PR
pr35,35,SSEBASTIA115-35,115.0,-66.9886325740527,18.3408521093501,San Sebastián,72131,PR,USA,PR,PR
pr38,38,DOS BOCA 115-38,115.0,-66.666,18.336,Arecibo,72013,PR,USA,PR,PR
pr40,40,CAMBALACH115-40,115.0,-66.70054232,18.45395878,Arecibo,72013,PR,USA,PR,PR
pr41,41,VEGA BAJA115-41,115.0,-66.3914685076281,18.4458787165834,Vega Baja,72145,PR,USA,PR,PR
pr45,45,BAYAMON 115 -45,115.0,-66.1410715779413,18.3988201392758,Bayamón,72021,PR,USA,PR,PR
pr50,50,MONACILLO115-50,115.0,-66.0728457784086,18.3732806365162,San Juan,72127,PR,USA,PR,PR
pr63,63,PALOSECO 115-63,115.0,-66.14887874,18.45454337,Toa Baja,72137,PR,USA,PR,PR
pr82,82,CANOVANAS115-82,115.0,-65.9094991272663,18.3749310778779,Canóvanas,72029,PR,USA,PR,PR
pr83,83,COROZAL 115 -83,115.0,-66.3595940765544,18.3291233336108,Corozal,72047,PR,USA,PR,PR
pr84,84,BERWIND 115 -84,115.0,-66.011397443087,18.4101485183135,San Juan,72127,PR,USA,PR,PR
pr85,85,S.LLANA 115 -85,115.0,-65.981,18.395,Carolina,72031,PR,USA,PR,PR
pr86,86,VIADUCTO 115-86,115.0,-66.0779062917654,18.4462551438155,San Juan,72127,PR,USA,PR,PR
pr87,87,HATO REY 115-87,115.0,-66.0676831279039,18.4270871873285,San Juan,72127,PR,USA,PR,PR
pr88,88,SJSP 115    -88,115.0,-66.104404337261,18.4270894106024,San Juan,72127,PR,USA,PR,PR
pr93,93,DORADO 115  -93,115.0,-66.2653662847825,18.4177430276982,Dorado,72051,PR,USA,PR,PR
pr96,96,COSTA SUR230-96,230.0,-66.7549319005293,18.0030629750221,Guayanilla,72059,PR,USA,PR,PR
pr99,99,BAYAMON 230 -99,230.0,-66.141,18.399,Bayamón,72021,PR,USA,PR,PR
pr100,100,MORA 115    -100,115.0,-67.036,18.467,Isabela,72071,PR,USA,PR,PR
pr101,101,DAGUAO 115  -101,115.0,-65.667,18.232,Ceiba,72037,PR,USA,PR,PR
pr102,102,BARCLONET115-102,115.0,-66.5706576264178,18.4283908357814,Barceloneta,72017,PR,USA,PR,PR
pr103,103,CANAS 115   -103,115.0,-66.6390769907291,18.0127700579151,Ponce,72113,PR,USA,PR,PR
pr106,106,AGUIRRE 230 -106,230.0,-66.2308401882358,17.9520116156805,Salinas,72123,PR,USA,PR,PR
pr107,107,AGUIRRE 115 -107,115.0,-66.2311584279522,17.9532741471698,Salinas,72123,PR,USA,PR,PR
pr111,111,H.CREA      -111,115.0,-66.1779709050394,18.41145572511,Bayamón,72021,PR,USA,PR,PR
pr116,116,ACACIAS 115 -116,115.0,-67.1360455,18.12868123,Cabo Rojo,72023,PR,USA,PR,PR
pr120,120,S.LLANA 230 -120,230.0,-65.981,18.395,Carolina,72031,PR,USA,PR,PR
pr127,127,CACHETE13   -127,115.0,-66.0989665285312,18.3984931434295,San Juan,72127,PR,USA,PR,PR
pr149,149,A.BUENAS 115-149,115.0,-66.1060753786802,18.247078688759,Aguas Buenas,72007,PR,USA,PR,PR
pr153,153,MANATI 115  -153,115.0,-66.456,18.433,Manatí,72091,PR,USA,PR,PR
pr167,167,UPJOHN115   -167,115.0,-66.5905482796362,18.4249383396828,Arecibo,72013,PR,USA,PR,PR
pr169,169,SGERMANTC115-169,115.0,-67.0091432005955,18.0750990243733,San Germán,72125,PR,USA,PR,PR
pr175,175,CONQUISTADOR-175,115.0,-66.0125885191723,18.3435425236042,Trujillo Alto,72139,PR,USA,PR,PR
pr177,177,CIALES 115  -177,115.0,-66.4738323567036,18.3275495781778,Ciales,72039,PR,USA,PR,PR
pr184,184,MAUNABO115  -184,115.0,-65.904410885355,18.0114416005492,Maunabo,72095,PR,USA,PR,PR
pr185,185,SUN OIL     -185,115.0,-65.8516387068331,18.0483889897792,Yabucoa,72151,PR,USA,PR,PR
pr190,190,CANA 115    -190,115.0,-66.185849899094,18.3494926249706,Bayamón,72021,PR,USA,PR,PR
pr196,196,MANATI 230  -196,230.0,-66.456,18.433,Manatí,72091,PR,USA,PR,PR
pr204,204,MAYAGUEZ-VIC-204,230.0,-67.147,18.237,Mayagüez,72097,PR,USA,PR,PR
pr211,211,PALMER 115  -211,115.0,-65.77090642,18.3639503,Río Grande,72119,PR,USA,PR,PR
pr213,213,TORONEGRO115-213,115.0,-66.488,18.132,Villalba,72149,PR,USA,PR,PR
pr231,231,AÑASCO 115  -231,115.0,-67.152569302061,18.2984761586059,Añasco,72011,PR,USA,PR,PR
pr232,232,MAYA TC 230 -232,230.0,-67.147,18.237,Mayagüez,72097,PR,USA,PR,PR
pr233,233,YABUCOA 230 -233,230.0,-65.825,18.106,Humacao,72069,PR,USA,PR,PR
pr234,234,JUNCOS 115  -234,115.0,-65.9154707181728,18.2269009978467,Juncos,72077,PR,USA,PR,PR
pr266,266,JAYUYA      -266,115.0,-66.6040735772664,18.2178266340192,Jayuya,72073,PR,USA,PR,PR
pr271,271,R BAYAMON115-271,115.0,-66.1259055887702,18.381696554124,Bayamón,72021,PR,USA,PR,PR
pr275,275,COMERIO 115 -275,115.0,-66.2094086233001,18.1983008074441,Comerío,72045,PR,USA,PR,PR
pr277,277,MAY TC 115  -277,115.0,-67.147,18.237,Mayagüez,72097,PR,USA,PR,PR
pr280,280,VILLA BETINA-280,115.0,-66.0565131330956,18.3439345103641,San Juan,72127,PR,USA,PR,PR
